Country_and_Time_Period,Migration Change,% Expenditure on healthcare,Infrastructure as % of GDP,Taxing Wages,Infant Mortality,Change in Unemployment,GDP Growth,Life Expectancy
Germany 2008,-0.001630268,10.167,0.6,40.28,3.9,-0.991010133,1.05210894,79.73658537
Germany 2009,0.056636721,11.1444,0.7,38.95,3.5,0.174162859,-5.637953893,79.83658537
Germany 2010,0.127351504,11.0137,0.6,37.7,3.5,-0.533290168,4.090769512,79.98780488
Germany 2011,0.231396181,10.7187,0.6,38.63,3.4,-1.052926577,3.589997242,80.74146341
Germany 2012,0.147574834,10.7836,0.6,38.73,3.6,-0.335366672,0.376483651,80.89268293
Germany 2013,0.128295375,10.9801,0.6,38.33,3.3,-0.155533993,0.105792041,81.04390244
Greece 2001,0,7.9987,1.3,38.5,5.9,-0.46400458,3.736916514,78.38780488
Greece 2002,0,8.294,1.6,39.29,5.1,-0.373569434,3.193363275,78.71341463
Greece 2003,0,8.2135,1.9,39.56,5.1,-0.38175181,3.012178862,78.55060976
Greece 2004,0,7.9611,1.7,40.6,4,0.677294914,4.952469668,79.03902439
Greece 2005,0,9.0006,0.8,40.49,4.1,-0.288839466,0.890703642,79.23902439
Greece 2006,-0.032181022,8.9666,0.8,41.39,3.8,-0.791812511,5.815236248,79.43902439
Greece 2007,-0.267068464,9.0551,0.8,40.39,3.7,-0.706859675,3.537636802,79.43902439
Greece 2008,-0.074072475,9.7545,0.9,39.96,3.5,-0.52525179,-0.444293912,79.93902439
Greece 2009,0.084683341,9.7655,1,39.78,2.7,1.780848644,-4.394817224,80.18780488
Greece 2010,-0.282932909,9.1756,0.7,38.92,3.1,2.924756588,-5.448755761,80.38780488
Greece 2011,-0.304543275,9.7379,0.7,42.42,3.8,5.08749659,-8.863679768,80.73170732
Greece 2012,-0.235887271,9.0998,0.7,42.22,3.4,5.80410543,-6.571893179,80.63414634
Greece 2013,0,9.153,0.7,42.05,2.9,3.15084863,-3.895153129,80.63414634
Hungary 2001,0.00614348,6.8538,0.8,44.73,9.2,-0.591270303,3.735111432,72.24878049
Hungary 2002,-0.11502856,7.1467,0.8,42.78,8.1,0.307839317,4.261374107,72.44878049
Hungary 2003,0.077509459,8.1732,0.7,39.06,7.2,0.367050979,4.436794999,72.34878049
Hungary 2004,0.144539117,7.8306,1.9,40.33,7.3,0.513292235,4.789353064,72.64878049
Hungary 2005,0.154214041,8.0788,2.1,40.01,6.6,1.545228886,4.259657825,72.64878049
Hungary 2006,-0.07868814,7.8786,0.7,40.23,6.2,-0.201959665,3.962944387,73.09756098
Hungary 2007,-0.040816327,7.2874,1,42.85,5.7,-0.221943814,0.51127922,73.15121951
Hungary 2008,0.572389083,7.1675,1.2,42.82,5.9,0.606900352,0.878582396,73.70243902
Hungary 2009,-0.28033308,7.4112,2,42.12,5.6,2.457529117,-6.551029707,73.90487805
Hungary 2010,-0.066374795,7.706,1.1,36.39,5.1,0.68497301,0.78911688,74.20731707
Hungary 2011,-0.057360576,7.6887,0.6,34.44,5.3,0.01797411,1.806605435,74.85853659
Hungary 2012,-0.096562139,7.5441,0.6,35.37,4.9,0.5807989,-1.477944687,75.06341463
Hungary 2013,0.042823529,7.3682,1,36.22,4.9,-0.68506315,1.525166806,75.26829268
Iceland 2001,0.021527214,8.88,1.2,20.98,3,-0.186736913,3.762961518,80.6902439
Iceland 2002,-0.262425447,9.603,1.3,23.55,2.7,1.09153539,5.997842701,80.84390244
Iceland 2003,-0.270619946,10.0567,1.7,24.77,2.2,-0.153823419,6.742803096,80.76707317
Iceland 2004,0.85661493,9.5318,1.3,25.71,2.4,-0.185798596,8.228620875,80.99756098
Iceland 2005,0.863057325,9.1548,1.1,26.27,2.8,-0.507865365,6.00194571,81.50243902
Iceland 2006,0.510683761,8.8892,1.5,25.99,2.3,0.430477555,4.232900251,81.15853659
Iceland 2007,0.317963225,8.6595,1.2,25.15,1.4,-0.691534806,9.722501818,81.45365854
Iceland 2008,-0.198218502,8.7361,2,24.59,2,0.597963865,1.150661157,81.6097561
Iceland 2009,-0.545977781,9.1033,1.3,22.53,2.5,3.911604373,-5.149588659,81.75121951
Iceland 2010,-0.119103774,8.8043,0.8,26.24,1.8,0.57122593,-3.067113678,81.89756098
Iceland 2011,-0.078313253,8.6337,0.4,27.7,2.2,-0.560055334,2.40098108,82.35853659
Iceland 2012,0.026506899,8.6822,0.3,26.86,0.9,-1.032583136,1.309806059,82.91707317
Iceland 2013,0.281027467,8.7475,0.3,28.02,1.1,-0.685009269,3.560387562,83.11707317
Ireland 2001,0.176258993,6.0519,0.9,17,6.2,-0.621460988,5.273287461,77.13414634
Ireland 2002,0.220183486,6.2999,1,13.32,5.7,0.548114185,5.175293193,77.83658537
Ireland 2003,0.062656642,6.5936,1,11.63,5,0.142834798,5.142628437,77.48536585
Ireland 2004,-0.014150943,6.7992,0.9,10.74,5.3,-0.027064374,4.578394171,78.53902439
Ireland 2005,0.581339713,6.9444,0.8,9.58,4.6,0.128537006,5.674197946,78.94390244
Ireland 2006,0.344931921,7.0151,0.9,8.57,3.8,-0.032998099,5.470139737,79.24146341
Ireland 2007,0.354330709,7.1729,0.9,7.24,3.9,0.237573327,4.932182698,79.64146341
Ireland 2008,-0.254983389,8.2774,0.8,7.32,3.2,0.70166716,-2.609651126,80.09512195
